Date,Open,High,Low,Close,Adj Close,Volume
2019-01-24,23.190001,23.469999,23.010000,23.389999,23.389999,1347200
2019-01-25,23.680000,24.100000,23.490000,23.900000,23.900000,2680600
2019-01-28,23.629999,24.180000,23.240000,24.139999,24.139999,2131600
2019-01-29,24.070000,24.100000,23.080000,23.240000,23.240000,1723100
2019-01-30,23.500000,24.045000,23.330000,23.930000,23.930000,1476800
2019-01-31,24.040001,24.990000,24.000000,24.709999,24.709999,3611300
2019-02-01,24.549999,24.650000,23.270000,24.240000,24.240000,4505100
2019-02-04,24.389999,24.850000,24.000000,24.570000,24.570000,1697800
2019-02-05,24.639999,25.295000,24.490000,25.200001,25.200001,3021300
2019-02-06,25.250000,25.440001,24.750000,25.240000,25.240000,1906500
2019-02-07,25.100000,25.209999,24.410000,24.790001,24.790001,1462100
2019-02-08,24.610001,25.469999,24.510000,25.420000,25.420000,1834700
2019-02-11,25.469999,25.650000,25.080000,25.150000,25.150000,1591300
2019-02-12,25.440001,25.600000,25.250000,25.430000,25.430000,1218900
2019-02-13,25.559999,25.639999,25.219999,25.450001,25.450001,1354400
2019-02-14,25.530001,25.945000,25.320000,25.780001,25.780001,1701600
2019-02-15,26.000000,26.000000,25.480000,25.540001,25.540001,1906200
2019-02-19,25.379999,26.209999,25.330000,25.990000,25.990000,2801400
2019-02-20,26.299999,26.490000,25.469999,25.490000,25.490000,3002300
2019-02-21,25.709999,25.740000,24.930000,25.590000,25.590000,7690400
2019-02-22,23.799999,24.200001,23.030001,23.450001,23.450001,13652100
2019-02-25,23.530001,23.980000,23.430000,23.590000,23.590000,4989800
2019-02-26,23.280001,24.389999,23.250000,24.340000,24.340000,4623200
2019-02-27,23.850000,24.350000,23.500000,24.240000,24.240000,3441800
2019-02-28,24.000000,24.100000,23.320000,23.860001,23.860001,3922900
2019-03-01,23.920000,24.000000,23.600000,23.889999,23.889999,3471600
2019-03-04,24.000000,24.000000,23.377001,23.860001,23.860001,4560900
2019-03-05,23.760000,23.790001,23.514999,23.540001,23.540001,2056100
2019-03-06,23.450001,23.450001,22.254999,22.629999,22.629999,5492000
2019-03-07,22.600000,22.750000,22.190001,22.510000,22.510000,2721800
2019-03-08,22.030001,22.490000,21.840000,22.230000,22.230000,2440600
2019-03-11,22.270000,23.000000,22.230000,22.639999,22.639999,2242000
2019-03-12,22.840000,23.245001,22.700001,23.110001,23.110001,2345500
2019-03-13,23.010000,23.280001,22.590000,22.590000,22.590000,3397000
2019-03-14,22.480000,22.870001,22.080000,22.129999,22.129999,3085700
2019-03-15,22.299999,22.549999,22.150000,22.309999,22.309999,2359100
2019-03-18,22.299999,22.459999,21.980000,22.160000,22.160000,3246600
2019-03-19,22.209999,22.490000,22.020000,22.320000,22.320000,2615400
2019-03-20,22.340000,22.450001,22.049999,22.100000,22.100000,1745300
2019-03-21,22.030001,22.740000,22.010000,22.660000,22.660000,2311600
2019-03-22,22.500000,22.700001,21.670000,21.719999,21.719999,3392300
2019-03-25,21.500000,21.879999,21.334999,21.830000,21.830000,1856600
2019-03-26,22.020000,22.120001,21.780001,21.959999,21.959999,1361900
2019-03-27,21.930000,21.950001,21.080000,21.420000,21.420000,2970900
2019-03-28,21.459999,21.570000,21.139999,21.500000,21.500000,2003900
2019-03-29,21.670000,21.950001,21.580000,21.799999,21.799999,2879400
2019-04-01,22.000000,22.160000,21.459999,21.570000,21.570000,2821600
2019-04-02,21.510000,22.139999,21.350000,22.129999,22.129999,3500600
2019-04-03,22.160000,22.549999,22.090000,22.280001,22.280001,1869400
2019-04-04,22.230000,22.420000,21.709999,21.900000,21.900000,2329900
2019-04-05,22.020000,22.100000,21.820000,21.950001,21.950001,1970300
2019-04-08,21.790001,22.379999,21.590000,22.139999,22.139999,1885500
2019-04-09,21.980000,22.160000,21.780001,21.940001,21.940001,2380000
2019-04-10,21.959999,22.330000,21.940001,22.280001,22.280001,1614900
2019-04-11,22.280001,22.440001,22.030001,22.080000,22.080000,1033000
2019-04-12,22.200001,22.405001,21.959999,22.340000,22.340000,1929700
2019-04-15,22.290001,22.530001,22.110001,22.150000,22.150000,1003900
2019-04-16,22.250000,22.346001,21.680000,21.799999,21.799999,1795000
2019-04-17,21.910000,21.979000,21.040001,21.150000,21.150000,4526800
2019-04-18,21.150000,21.340000,20.600000,21.250000,21.250000,2141200
2019-04-22,21.059999,23.344999,21.059999,23.160000,23.160000,7393600
2019-04-23,22.790001,23.450001,21.969999,23.330000,23.330000,5649000
2019-04-24,23.309999,23.761000,23.250000,23.400000,23.400000,3822700
2019-04-25,23.430000,24.049999,23.320000,23.650000,23.650000,4025600
2019-04-26,23.559999,24.389999,23.559999,24.350000,24.350000,18865700
2019-04-29,24.400000,24.650000,24.250000,24.410000,24.410000,4458500
2019-04-30,24.420000,24.629999,24.100000,24.379999,24.379999,3224300
2019-05-01,24.500000,24.500000,23.879999,23.900000,23.900000,2059100
2019-05-02,23.950001,24.120001,23.510000,23.969999,23.969999,3039900
2019-05-03,24.000000,24.500000,23.879999,24.420000,24.420000,2733700
2019-05-06,23.799999,24.299999,23.570000,24.160000,24.160000,3665100
2019-05-07,23.980000,24.139999,23.330000,23.590000,23.590000,2747100
2019-05-08,23.639999,24.150000,23.510000,23.670000,23.670000,2157600
2019-05-09,23.330000,23.459999,22.840000,23.230000,23.230000,6706400
2019-05-10,24.790001,24.790001,22.600000,23.500000,23.500000,9323300
2019-05-13,22.400000,22.709999,21.570000,21.680000,21.680000,4746500
2019-05-14,21.860001,22.350000,21.860001,22.190001,22.190001,4144600
2019-05-15,21.889999,23.180000,21.854000,22.809999,22.809999,4252200
2019-05-16,22.820000,23.750000,22.790001,23.520000,23.520000,4173000
2019-05-17,23.070000,23.450001,22.850000,23.000000,23.000000,2931200
2019-05-20,22.459999,23.485001,22.450001,23.139999,23.139999,2485900
2019-05-21,23.450001,23.680000,23.139999,23.200001,23.200001,2507500
2019-05-22,23.280001,23.629999,23.129999,23.209999,23.209999,2229200
2019-05-23,22.750000,23.040001,22.360001,22.559999,22.559999,2583200
2019-05-24,22.690001,22.879999,22.400000,22.600000,22.600000,2136300
2019-05-28,22.780001,23.350000,22.450001,22.650000,22.650000,10821500
2019-05-29,22.450001,22.740000,22.250000,22.620001,22.620001,2399400
2019-05-30,22.600000,22.950001,22.250000,22.379999,22.379999,1975600
2019-05-31,22.035000,22.820000,21.954000,22.559999,22.559999,3562600
